city,hour,total_events,total_revenue,avg_duration
NYC,2025-06-28 23:00:00,1,0.0,60.0
NYC,2025-06-29 00:00:00,10,0.0,60.0
NYC,2025-06-29 01:00:00,9,0.0,60.0
NYC,2025-06-29 02:00:00,16,0.0,60.0
NYC,2025-06-29 03:00:00,6,0.0,60.0
NYC,2025-06-29 04:00:00,4,0.0,60.0
NYC,2025-06-29 05:00:00,2,0.0,60.0
NYC,2025-06-29 06:00:00,16,0.0,60.0
NYC,2025-06-29 07:00:00,5,0.0,60.0
NYC,2025-06-29 08:00:00,3,0.0,60.0
NYC,2025-06-29 09:00:00,4,0.0,60.0
NYC,2025-06-29 10:00:00,12,0.0,60.0
NYC,2025-06-29 11:00:00,11,0.0,60.0
NYC,2025-06-29 12:00:00,12,0.0,60.0
NYC,2025-06-29 13:00:00,6,0.0,60.0
NYC,2025-06-29 14:00:00,17,0.0,60.0
NYC,2025-06-29 15:00:00,8,0.0,60.0
NYC,2025-06-29 16:00:00,4,0.0,60.0
NYC,2025-06-29 17:00:00,14,0.0,60.0
NYC,2025-06-29 18:00:00,4,0.0,60.0
NYC,2025-06-29 19:00:00,7,0.0,60.0
NYC,2025-06-29 20:00:00,16,0.0,60.0
NYC,2025-06-29 21:00:00,11,0.0,60.0
NYC,2025-06-29 22:00:00,17,0.0,60.0
NYC,2025-06-29 23:00:00,11,0.0,60.0
NYC,2025-06-30 00:00:00,12,0.0,60.0
NYC,2025-06-30 01:00:00,13,0.0,60.0
NYC,2025-06-30 02:00:00,15,0.0,60.0
NYC,2025-06-30 03:00:00,6,0.0,60.0
NYC,2025-06-30 04:00:00,7,0.0,60.0
NYC,2025-06-30 05:00:00,5,0.0,60.0
NYC,2025-06-30 06:00:00,4,0.0,60.0
NYC,2025-06-30 07:00:00,5,0.0,60.0
NYC,2025-06-30 08:00:00,11,0.0,60.0
NYC,2025-06-30 09:00:00,17,0.0,60.0
NYC,2025-06-30 10:00:00,12,0.0,60.0
